age,year,mean_val,q05,q95,population
18+,15,18237967.18038657,17361459.070149515,19001270.684346523,18237967 (17361459 to 19001271)
18+,23,21580139.34621905,21294155.65968416,21842332.076855704,21580139 (21294156 to 21842332)
18+,2343,26629258.53648783,24727933.26123456,28926635.201033846,26629259 (24727933 to 28926635)
18+,2373,34182438.4215358,28686272.819724478,41767356.48736395,34182438 (28686273 to 41767356)
18+,73,43906305.990016334,32714863.28680777,59333503.57603644,43906306 (32714863 to 59333504)
ge40,15,10148097.715579193,7651292.870379047,12131406.00407009,10148098 (7651293 to 12131406)
ge40,23,12722397.201226374,10818477.523021732,14303505.106867893,12722397 (10818478 to 14303505)
ge40,2343,16953746.717686217,16088190.805764647,17510616.11607653,16953747 (16088191 to 17510616)
ge40,2373,22828925.80501592,20106531.378813397,26006034.382309634,22828926 (20106531 to 26006034)
ge40,73,32693310.66487464,25063830.633292403,42886339.345674425,32693311 (25063831 to 42886339)
